map,BFS-G cost,BFS-G expanded,DFS-G cost,DFS-G expanded,UCS cost,UCS expanded,Greedy cost,Greedy expanded,WA* (0.5) cost,WA* (0.5) expanded,WA* (0.7) cost,WA* (0.7) expanded,WA* (0.9) cost,WA* (0.9) expanded
4x4,51.0,14,51.0,7,51.0,11,51.0,9,51.0,11,51.0,11,51.0,11
8x8,164.0,55,148.0,20,93.0,45,113.0,14,93.0,45,93.0,44,108.0,28
map12x12,109.0,141,109.0,33,87.0,97,227.0,32,87.0,92,87.0,89,89.0,26
map15x15,121.0,223,157.0,47,106.0,166,188.0,53,106.0,167,106.0,150,129.0,44
map20x20,256.0,390,282.0,57,175.0,308,268.0,45,175.0,308,175.0,298,202.0,56
input_0,164.0,49,171.0,42,113.0,41,113.0,14,113.0,41,113.0,41,113.0,40
input_1,108.0,59,108.0,14,108.0,49,188.0,28,108.0,49,108.0,49,108.0,22
input_2,197.0,60,197.0,18,123.0,49,197.0,20,123.0,49,123.0,49,123.0,36
input_3,195.0,60,195.0,13,123.0,48,203.0,26,123.0,48,123.0,46,123.0,36
input_4,164.0,55,164.0,18,93.0,41,113.0,14,93.0,41,93.0,41,108.0,26
input_5,204.0,60,224.0,27,93.0,42,113.0,14,93.0,40,93.0,40,93.0,30
input_6,51.0,14,51.0,6,51.0,14,51.0,6,51.0,15,51.0,14,51.0,14
input_7,71.0,23,71.0,8,71.0,23,71.0,8,71.0,24,71.0,23,71.0,23
input_8,91.0,34,91.0,10,91.0,34,91.0,10,91.0,35,91.0,34,91.0,34
input_9,111.0,47,111.0,12,111.0,47,111.0,12,111.0,48,111.0,47,111.0,47
input_10,111.0,5,111.0,4,111.0,3,111.0,4,111.0,3,111.0,3,111.0,3
input_11,131.0,12,131.0,5,51.0,7,51.0,6,51.0,7,51.0,7,51.0,7
input_12,101.0,2,101.0,2,101.0,2,101.0,2,101.0,2,101.0,2,101.0,2
input_13,101.0,3,101.0,3,101.0,2,101.0,2,101.0,2,101.0,2,101.0,2
input_14,117.0,14,51.0,6,16.0,7,110.0,5,16.0,7,16.0,6,16.0,6
input_15,117.0,14,30.0,6,30.0,10,117.0,5,30.0,11,30.0,10,30.0,7
input_16,117.0,14,30.0,6,30.0,10,117.0,5,30.0,11,30.0,10,30.0,7
input_17,117.0,10,117.0,7,30.0,6,117.0,5,30.0,6,30.0,6,30.0,6
input_19,101.0,3,171.0,18,101.0,11,101.0,2,101.0,11,101.0,9,101.0,2
input_20,101.0,3,91.0,10,91.0,10,101.0,2,91.0,10,91.0,10,91.0,10
input_21,101.0,3,28.0,10,28.0,15,101.0,2,28.0,14,28.0,14,49.0,10
input_22,122.0,33,122.0,9,49.0,18,136.0,10,49.0,19,49.0,14,49.0,10
input_23,28.0,31,28.0,10,28.0,15,49.0,19,28.0,14,28.0,14,49.0,10
input_24,136.0,33,28.0,14,28.0,12,136.0,13,28.0,12,28.0,12,28.0,10
input_25,101.0,3,101.0,28,101.0,14,101.0,2,101.0,14,101.0,14,101.0,14
